92,Three Two One,Draw,6,3,0,4,12,1,Invented Poker Variations,http://www.pagat.com/invented/poker_vars.html
93,Trash Bin,Draw,5,2,20,5,10,1,Joker Poker,http://www.freewebs.com/jokerpoker/
94,Trees,Pass,5,2,0,10,50,1,Public Domain,N/A
95,Up Your Draws,Draw,5,2,0,6,9,1,Scott Harker,http://www.scottharker.com/pokerrules.html
96,Vice President,Draw,5,2,0,6,9,1,Hoyle,http://www.amazon.com/exec/obidos/search-handle-form/102-4548851-4904951
97,Zombie,Draw,5,2,0,5,9,1,Poker Phil,http://www.notdeadyet.com/pokerphil/games.html
98,Abyssinia,Stud,5,5,0,10,15,2,Game Report,http://www.gamereport.com/poker/
99,Ainslie Rollover,Stud,5,4,0,10,5,2,Hoyle,http://www.amazon.com/exec/obidos/search-handle-form/102-4548851-4904951
100,Beat Your Neighbor,Nonpoker,5,301,0,10,5,2,Public Domain,N/A
101,Best Flush,Nonpoker,5,4,0,10,5,2,Poker Mike,http://www.pokermike.com/poker/
102,Bid'em,Stud,5,5,0,8,6,2,Home Poker Cookbook,http://www.homepoker.com/games01.asp?group=pokerists_cookbook
103,Blind Pig,Stud,5,99,0,10,5,2,Source misplaced,N/A
104,Blind Stud,Stud,5,4,0,10,5,2,Source misplaced,N/A
105,Bombay,Stud,5,5,0,8,6,2,Two Plus Two Forums,http://forumserver.twoplustwo.com/ubbthreads.php
106,Bug Stud,Stud,5,4,0,10,5,2,Graham's Card Club,http://www.gccpokertables.com/
107,Canadian,Stud,5,5,0,6,8,2,Two Plus Two Forums,http://forumserver.twoplustwo.com/ubbthreads.php
108,Crazy Fives,Stud,5,5,0,10,10,2,Scarne's Guide to Modern Poker,http://www.amazon.com/exec/obidos/ASIN/0671530763/qid=1124201165/sr=2-1/ref=pd_bbs_b_2_1/102-4548851-4904951
109,Crocodile Stud,Stud,6,4,0,8,6,2,Gambling Poker,http://www.gambling-poker.com/
110,Do Ya,Stud,5,4,24,6,8,2,Joker Poker,http://www.freewebs.com/jokerpoker/
111,Double Double,Stud,5,4,0,5,10,2,Erich Friedman,http://www.stetson.edu/~efriedma/poker/variants.html
112,Double Handed,Stud,5,4,0,5,5,2,Source misplaced,N/A
113,Fairview,Stud,2,5,0,10,5,2,Scarne's Guide to Modern Poker,http://www.amazon.com/exec/obidos/ASIN/0671530763/qid=1124201165/sr=2-1/ref=pd_bbs_b_2_1/102-4548851-4904951
114,Five Card Bet or Drop,Stud,5,4,0,10,5,2,Home Poker Cookbook,http://www.homepoker.com/games01.asp?group=pokerists_cookbook
115,Five Card Blind II,Stud,5,4,0,10,5,2,Poker Tips,http://www.pokertips.org/variants/
116,Five Card Voodoo,Stud,5,4,2,10,5,2,Rec.Gambling.Poker,N/A
117,Five Stud Any Card Wild,Stud,5,4,10,10,5,2,Hoyle,http://www.amazon.com/exec/obidos/search-handle-form/102-4548851-4904951
118,Five Stud Any Value Wild,Stud,5,4,40,10,5,2,Hoyle,http://www.amazon.com/exec/obidos/search-handle-form/102-4548851-4904951
119,Five Stud Choose Your Own,Stud,5,4,0,10,5,2,Rec.Gambling.Poker,N/A
120,Five Stud Ghost Hand,Stud,5,4,0,9,5,2,Poker.Net,http://www.poker.net/school/games/variations/default.htm
121,Five Stud Kinky Sex,Stud,5,4,8,10,5,2,Aidtopia,http://www.aidtopia.com/communities/poker/
122,Five Stud Place,Stud,5,4,0,10,5,2,Hoyle,http://www.amazon.com/exec/obidos/search-handle-form/102-4548851-4904951
123,Four Card Stud,Stud,4,3,0,13,4,2,Source misplaced,N/A
124,Give Me Five,Stud,10,4,0,5,10,2,Erich Friedman,http://www.stetson.edu/~efriedma/poker/variants.html
125,Jackal,Stud,5,4,0,5,10,2,Oswald Jacoby on Poker,http://www.amazon.com/exec/obidos/tg/detail/-/0385175906/qid=1124201229/sr=1-1/ref=sr_1_1/102-4548851-4904951?v=glance&s=books
126,Joker Stud,Stud,5,4,0,5,10,2,Oswald Jacoby on Poker,http://www.amazon.com/exec/obidos/tg/detail/-/0385175906/qid=1124201229/sr=1-1/ref=sr_1_1/102-4548851-4904951?v=glance&s=books
127,Last Card Down,Stud,5,4,0,10,5,2,Source misplaced,N/A
128,Left to Right,Stud,5,4,0,10,5,2,Poker Phil,http://www.notdeadyet.com/pokerphil/games.html
129,Little Ones,Stud,5,4,40,10,5,2,Home Poker Cookbook,http://www.homepoker.com/games01.asp?group=pokerists_cookbook
130,Mediocre,Stud,5,4,0,10,5,2,Poker Mike,http://www.pokermike.com/poker/
131,Mexican Poker,Stud,5,4,1,8,5,2,Two Plus Two Forums,http://forumserver.twoplustwo.com/ubbthreads.php
132,Mexican Stud,Stud,5,4,0,10,5,2,Public Domain,N/A
133,Mike,Stud,5,4,0,10,5,2,Hoyle,http://www.amazon.com/exec/obidos/search-handle-form/102-4548851-4904951
134,New York Stud,Stud,5,4,0,10,5,2,Home Poker Cookbook,http://www.homepoker.com/games01.asp?group=pokerists_cookbook
